ID,agot1,agot2,agot3,eng1,eng2,eng3,iab1,iab2,iab3,age,exp,emp,rol,gnr,suc
1,4,1,3,2,3,4,4,1,4,41,35,23,Profesional,Otro,Sur
2,1,4,1,4,4,2,5,2,5,54,44,43,Administrativo,Masculino,Centro
3,3,2,3,4,2,3,5,1,5,63,38,29,Profesional,Masculino,Centro
4,3,3,4,2,3,4,4,1,4,47,27,4,Administrativo,Femenino,Centro
5,4,1,3,1,3,6,5,1,4,39,35,23,Profesional,Femenino,Centro
6,1,4,1,5,6,3,3,4,2,34,16,15,Profesional,Femenino,Centro
7,1,5,1,6,5,2,1,5,2,25,19,16,Técnico,Femenino,Sur
8,3,2,3,3,2,3,4,3,5,48,32,32,Administrativo,Masculino,Sur
9,4,3,3,3,3,5,2,4,3,34,9,5,Técnico,Masculino,Sur
10,2,4,1,3,4,4,4,3,3,28,16,13,Técnico,Masculino,Centro
11,3,3,4,4,2,4,3,3,2,26,1,1,Técnico,Femenino,Centro
12,4,3,4,4,3,2,4,2,3,43,20,16,Técnico,Femenino,Sur
13,5,2,4,2,3,5,1,5,1,52,44,37,Profesional,Otro,Centro
14,4,2,5,2,2,6,1,5,2,47,26,19,Profesional,Masculino,Sur
15,5,1,5,2,1,5,2,3,1,61,45,22,Administrativo,Femenino,Sur
16,4,2,3,2,2,4,2,5,1,39,38,35,Administrativo,Femenino,Sur
17,3,4,2,2,2,6,5,2,5,47,41,35,Profesional,Masculino,Sur
18,3,2,3,4,2,4,3,4,4,46,38,38,Técnico,Femenino,Sur
19,5,2,5,1,2,6,4,3,3,36,29,15,Profesional,Masculino,Centro
20,4,3,3,2,3,5,4,1,4,32,8,1,Profesional,Otro,Sur
21,5,2,4,2,1,4,1,4,1,52,44,34,Técnico,Femenino,Sur
22,3,4,3,3,2,4,4,3,3,56,41,37,Profesional,Masculino,Centro
23,5,2,5,1,1,5,2,4,2,54,31,16,Profesional,Otro,Sur
24,5,1,5,1,2,5,5,1,5,47,30,29,Administrativo,Masculino,Sur
25,3,4,4,5,4,3,1,5,1,26,26,3,Administrativo,Otro,Centro
26,4,1,3,4,2,4,2,4,1,29,20,18,Administrativo,Femenino,Centro
27,1,4,2,4,5,3,4,3,3,53,39,3,Profesional,Otro,Centro
28,4,3,3,2,1,6,5,2,4,50,44,34,Técnico,Otro,Sur
29,5,2,5,2,1,6,4,3,3,47,40,16,Administrativo,Otro,Sur
30,1,5,2,4,4,2,5,1,5,50,43,37,Profesional,Otro,Centro
31,5,2,4,2,2,5,2,5,3,52,45,24,Profesional,Masculino,Sur
32,5,2,5,2,1,5,4,2,3,49,44,44,Profesional,Otro,Centro
33,4,1,3,2,2,5,3,3,2,46,22,18,Profesional,Otro,Sur
34,5,1,4,1,3,6,2,4,1,45,23,16,Técnico,Femenino,Centro
35,3,4,3,4,2,4,3,2,2,50,31,22,Técnico,Masculino,Sur
36,2,3,1,4,3,4,5,1,4,50,45,30,Técnico,Femenino,Centro
37,4,3,4,4,4,3,4,3,3,57,34,34,Técnico,Femenino,Sur
38,4,1,4,1,2,5,4,3,3,48,36,20,Técnico,Otro,Sur
39,5,1,5,2,2,6,1,4,1,21,1,1,Profesional,Masculino,Sur
40,5,2,4,1,3,5,3,3,4,22,3,1,Técnico,Femenino,Sur
41,5,1,5,2,1,4,3,3,2,48,42,8,Administrativo,Otro,Centro
42,4,3,3,2,3,5,4,1,5,49,42,32,Técnico,Otro,Centro
43,1,4,2,6,5,2,1,4,2,29,8,4,Técnico,Femenino,Sur
44,3,3,3,3,4,4,5,1,4,44,19,6,Técnico,Masculino,Sur
45,2,5,3,5,4,1,3,4,3,39,27,22,Profesional,Masculino,Centro
46,5,1,5,3,1,4,2,4,3,22,0,0,Profesional,Masculino,Sur
47,3,4,4,3,4,5,3,4,3,44,44,6,Profesional,Femenino,Centro
48,2,4,2,4,5,4,3,3,3,28,22,14,Profesional,Otro,Centro
49,4,3,3,3,2,3,2,5,3,38,35,27,Profesional,Otro,Centro
50,5,1,4,3,3,4,2,3,2,20,2,0,Técnico,Masculino,Sur
51,4,3,5,1,3,5,3,4,4,58,46,45,Profesional,Otro,Sur
52,5,2,4,2,3,4,1,5,1,54,33,3,Profesional,Femenino,Sur
53,5,2,5,1,1,6,1,5,1,47,42,35,Profesional,Femenino,Sur
54,5,2,5,1,3,6,1,4,1,59,41,27,Profesional,Otro,Sur
55,5,1,4,3,2,5,1,4,2,36,29,16,Técnico,Masculino,Centro
56,3,2,4,2,2,4,4,3,3,50,38,11,Profesional,Masculino,Centro
57,2,4,3,4,5,3,2,4,2,34,34,17,Técnico,Masculino,Sur
58,3,4,4,4,2,4,4,3,5,40,36,31,Profesional,Masculino,Centro
59,5,2,5,2,1,4,1,5,1,30,26,18,Profesional,Masculino,Centro
60,4,3,3,3,4,5,3,4,4,51,39,38,Técnico,Femenino,Sur
61,2,4,1,5,4,3,2,4,3,28,7,7,Técnico,Femenino,Centro
62,5,1,4,1,2,6,2,3,3,39,39,30,Profesional,Masculino,Sur
63,4,2,5,3,4,3,1,5,2,49,40,35,Técnico,Femenino,Sur
64,5,2,5,1,1,5,4,3,5,41,32,16,Profesional,Masculino,Sur
65,3,2,4,5,3,3,2,4,3,33,12,0,Profesional,Femenino,Centro
66,5,2,5,1,3,6,2,5,1,39,36,14,Administrativo,Masculino,Sur
67,4,3,3,1,2,5,4,2,5,48,36,1,Administrativo,Masculino,Centro
68,5,1,5,3,3,5,1,4,1,51,45,13,Administrativo,Masculino,Sur
69,2,5,3,5,5,2,4,1,5,58,39,18,Profesional,Masculino,Centro
70,5,1,5,1,2,6,5,2,5,56,34,27,Técnico,Masculino,Centro
71,5,1,4,2,1,4,1,4,1,34,33,0,Administrativo,Femenino,Centro
